학습 단계,활동 구분,교수자 활동,학습자 활동,시간,"자료(□) 및 유의점(◆)"
"도입 (12분)","출석 및 설문","- Google Form/Docs 설문 제시<br>(출석+워밍업 질문)<br>예시 문항:","- 이름·번호 입력 (출석)<br>- 간단히 응답 (예: ""유튜브 추천 영상"", ""카카오톡 챗봇"", ""없음"")","3분","□ Google Form/Docs<br>◆ 출석<br>관리와 학습 참여 동시 달성<br>◆ ""없음"" 응답도 존중"
"도입","동기 유발 질문","- MBCNEWS AI 사례 영상 제시<br>[더AI①] 사람처럼 학습해 운전하고 계산하고..""이미 상업화 문턱 넘었다""<br>(2025.07.14/뉴스데스크/MBC)<br>- 제시 전 ""방금 여러분 답변이랑 연결되는 장면이 있어요"" 멘트","- 스마트폰으로 단어 입력<br>- 화면에 자신의 답이 결과에 반영됨을 실시간 확인<br>- 다른 친구들의 의견도 확인 가능","4분","□ 유튜브 영상(PPT 삽입)<br>◆ 4분 이하의 자극적이지 않으면서 신기한 사례 위주의 영상 사용"
"도입","Mentimeter 활동","- 질문: ""인공지능 하면 떠오르는 단어는?"" 제시<br>- 워드클라우드 화면 공유<br>- 예상 단어 유추 제시","- 단어 입력 (예: ""로봇"", ""챗GPT"", ""알파고"", ""자율주행차"", ""스마트폰"", ""AI 스피커"", ""편리함"", ""두려움"")<br>- 결과 시각화 확인","2분","□ Mentimeter<br>◆ 실시간 참여·시각화로 몰입 유도<br>◆ 긍정/부정 단어 모두 허용"
"도입","학습 목표 제시","- Mentimeter 워드클라우드 결과를 화면에 띄운 채로 진행.<br>- 학생들이 제시한 키워드를 토대로 학습 목표를 확장 설명.<br>교사: ""여러분이 뽑은 단어들을 보니까 '챗GPT'는 학습 능력, '자율주행차'는 자율성, 그리고 '편리함'이나 '두려움' 같은 답변은 AI의 특징과 활용과 직접 이어지네요. 그래서 오늘 수업의 목표는 두 가지입니다.""<br>- PPT로 학습 목표 2가지를 제시한다.","- 목표 확인<br>- 필기","3분","□ PPT 자료<br>◆ 목표를 간단·명료하게 제시"
"전개 (87분)","개념 도입","- PPT로 AI 개념과 세 가지 특성(학습·추론·자율성) 체계적으로 설명<br>- 일상 사례(추천 시스템, 체스 엔진, 자율주행차) 시각자료 제시<br>※ 성취기준 해설에 제시된 '인공지능의 개념과 특성 이해' 충족 단계","- 필기<br>- 생활 경험과 연결 (""저거 본 적 있어요"")","3분","□ PPT<br>□ 교과서<br>◆ 설명은 짧고 예시는 풍부하게<br>◆ ""여러분이 아까 말한 답이 여기에 들어가요"" 연결 강조"
"전개","튜링 테스트 / 영상 시청","- YTN 사이언스 「컴퓨터와 인공지능의 아버지, 앨런 튜링」 영상(2분) 제시<br>- 시청 전 발문: ""튜링은 '컴퓨터가 사람처럼 생각할 수 있는가'를 어떻게 확인했을까요?""<br>- 영상 시청 후: 자연스럽게 다음 단계로 유도<br>※ 성취기준 해설의 '지능적 판단 고찰' 실현 필수 과정","- 영상 집중 시청<br>- 간단한 메모(키워드: 대화, 구분, 지능적 판단)","2분","□ YTN 사이언스 영상 (PPT 삽입)<br>◆ 영상은 길지 않아 집중도 유지 가능<br>◆ 시청 전·후 질문으로 '단순 시청' 방지<br>◆ AI의 지능적 판단은 단순 자동화와 다름을 강조"
"전개","이해 확인","- Mentimeter OX/객관식 2~3문항 제시<br>- 정답 공개 후 간단 해설<br>※ 사례를 통한 개념 이해 여부 평가 과정","- 스마트폰으로 응답<br>- 결과 보고 환호·실망","5분","□ Mentimeter<br>◆ 다수 오답일 때 ""좋은 착각이에요. 이건 이렇게 보면 맞아요"" 식으로 부드럽게 교정"
"전개","활용 사례 확장","- PPT로 사회 각 분야 사례(교통·의료·교육 등) 제시<br>- 학생 답변 기반(도입부 키워드)과 교사 준비 사례 대조 정리","- ""아, 이건 우리가 말한 거랑 비슷해요""<br>- ""그건 생각 못 했네요""","5분","□ PPT<br>◆ 학생 답을 먼저 인정 → 그 뒤 교사 준비 사례 추가<br>◆ 틀린 답은 ""좋은 아이디어지만 여기선 ---에 가까워요"" 식으로 정정"
"전개","개념 오개념 정정","- PPT에 ""자주 혼동하는 부분"" 슬라이드 제시<br>예: 학습 vs 추론 혼동, 자율성=자동화로만 오해<br>- ""이런 생각 많이 해요 → 사실은 이렇게 구분해요"" 식으로 정리","- ""저도 그렇게 생각했어요"" 반응<br>- 수정된 개념 받아 적기","5분","□ PPT<br>◆ ""틀린 게 아니다, 과정에서 흔히 생기는 생각""으로 언어 톤 조절<br>◆ 학생 발언 활용해 정정 연결"
"전개","개별 활동","- '문장들 활동' 진행<br>- 방금 사례와 특성을 연결해 문장 완성하기 과제 제시<br>예: ""---은(는) AI의 --- 특성과 관련 있다. 이유는 --- 때문이다.""","- 개별로 작성<br>(상위권: 구체적, 중하위권: 단순 표현)","9분","□ 문장들 카드<br>◆ 최소 1개 이상 작성 강제<br>◆ 중하위권엔 키워드 카드 보조 제공"
"전개","짝 활동","- 개별 활동 내용 공유 후 서로 첨삭<br>- 규칙: ""서로의 문장 읽어주고, 이유 부분만 질문해주기""<br>- 교사 순회하며 부족한 이유 보완","- 서로 문장 읽어주고 간단 피드백<br>- 발표 대비 준비","9분","□ 활동지<br>◆ 무시 방지 위해 질문 보완 규칙 제시<br>◆ 교사가 중하위 답변에 V 표시해 발표 유도"
"쉬는 시간","휴식","(10분 간 휴식)","-","10분","-"
"전개","활동 안내","- 휴식 후 수업 분위기 환기 멘트<br>- 오늘 활동 절차 안내: ""조별 카드 꾸미기 → 게시 → 발표 → 정리""","- 주의 집중<br>- 활동 절차 확인","5분","□ PPT 활동 절차 슬라이드<br>◆ 집중력 저하 고려, 간단하고 명확한 지시"
"전개","카드 배부 및 자리 재배치","- 조별 카드 및 꾸미기 도구 배부<br>- 활동 방법 안내 (""AI 정의·활용 키워드를 정리하고 시각화"")<br>- 책상 배치를 모둠형으로 유도","- 팀별로 책상 재배치<br>- 활동지 카드 및 도구 수령","3분","□ 활동지 카드, 사인펜, 색연필<br>◆ 자리 재배치가 지체되지 않도록 미리 안내"
"전개","모둠별 카드 꾸미기","- 모둠별 논의 상황 확인 및 역할 분담 지도<br>- 소극적 학생에게 단순 기록/그리기 역할 배정","- AI 정의·활용 키워드 정리<br>- 카드에 개념·사례 기록<br>- 그림·도형·색으로 표현","9분","□ 활동지 카드, 사인펜, 색연필<br>◆ 참여 격차 방지: 역할 분담 필수화"
"전개","교사 순회 질문 유도","- 저참여 학생에게 직접 질문 유도<br>""이 사례는 어떤 특성과 연결될까?""<br>- 답변이 짧아도 긍정 피드백 후 보완 질문","- 교사의 질문에 응답<br>- 부족한 부분을 보완하여 카드 완성","3분","□ 활동지 카드<br>◆ 질문은 단순→심화 순서로 제시<br>◆ 소극적 학생에게 우선 기회 제공"
"전개","카드 게시","- 조별 완성 카드를 칠판에 부착 안내<br>- 다른 조 카드를 관찰하며 비교 유도<br>""유사점과 차이점을 눈여겨보세요"" 발문","- 조별 대표가 카드 부착<br>- 타 모둠 카드 살펴보며 비교 관찰","5분","□ 완성된 카드, 칠판<br>◆ 게시 시간 단축 위해 위치 미리 지정<br>◆ 관찰 포인트 제시하여 단순 부착 방지"
"전개","모둠 발표","- 조별 대표의 카드 내용 설명 진행<br>- 격려 및 칭찬 유도<br>- 틀린 개념은 부드럽게 정정<br>- 발표하지 않은 학생에게 참여 기회 부여","- 조별 대표 설명 발표<br>- 경청 및 필요시 질문<br>- 박수와 피드백 참여","7분","□ 조별 카드<br>◆ 특정 학생 편중 방지 지도<br>◆ 유사 발표 내용은 교사가 묶어 정리<br>◆ 발표 태도 및 언어 사용 피드백"
